chrom,end,score,strand,read_density,clip_length
chr1,632690,5,+,35,65.37142857142857
chr1,24894,5,-,13,52.0
chr1,29400,11,-,5,37.4
chr1,195419,4,-,13,53.76923076923077
chr1,199875,11,-,20,39.3
chr1,0,4,-,0,
chr1,492143,5,-,4,21.75
chr1,630686,6,-,17,67.58823529411765
chr1,632713,3,-,28,62.17857142857143
chr1,634376,16,-,67,59.582089552238806
chr1,765151,3,-,10,55.4
chr1,854144,4,+,1,80.0
chr1,854413,4,+,3,118.0
chr1,1014451,23,+,8,32.375
chr1,1014544,620,+,612,66.18137254901961
chr1,1066441,5,+,13,64.23076923076923
chr1,1066453,5,+,11,64.72727272727273
chr1,1256910,10,-,8,16.875
chr1,1311677,15,+,18,84.22222222222223
chr1,1402046,14,+,15,57.666666666666664
chr1,1321094,4,-,3,220.33333333333334
chr1,1324677,17,-,6,67.66666666666667
chr1,1374172,9,-,6,215.0
chr1,1374249,4,-,4,72.5
chr1,1374297,5,-,3,406.0
chr1,1374451,11,-,8,131.0
chr1,1374792,31,-,36,77.36111111111111
chr1,1375228,185,-,100,34.99
chr1,1388073,3,-,4,95.5
chr1,1388795,47,-,56,43.232142857142854
chr1,1391143,26,-,1,25.0
chr1,1394777,8,-,11,55.27272727272727
chr1,1399364,5,-,3,47.666666666666664
chr1,1407264,11,-,134,47.8955223880597
chr1,1407306,3,-,65,76.0923076923077
chr1,1405873,5,-,4,282.25
chr1,1407020,5,-,5,71.0
chr1,1407272,29,-,124,48.064516129032256
chr1,1574649,52,-,37,36.0
chr1,1574850,4,-,5,41.6
chr1,1655466,3,-,3,132.33333333333334
chr1,1659008,9,-,15,24.466666666666665
chr1,1657500,8,-,11,125.54545454545455
chr1,1657927,4,-,6,35.833333333333336
chr1,1659209,5,-,3,32.0
chr1,1721693,3,-,3,132.33333333333334
chr1,1722833,5,-,8,96.75
chr1,1724345,6,-,11,46.09090909090909
chr1,1723254,3,-,4,38.25
chr1,1780077,4,-,1,73.0
chr1,1787440,4,-,4,372.75
chr1,1789172,7,-,1,217.0
chr1,2194134,5,-,6,54.833333333333336
chr1,2403759,19,+,25,54.6
chr1,2563829,7,+,19,78.36842105263158
chr1,6193045,3,-,43,213.58139534883722
chr1,6197763,4,-,446,79.47533632286995
chr1,6199654,17,-,16,33.25
chr1,6193054,15,-,34,178.35294117647058
chr1,6358971,4,-,3,30.0
chr1,6523603,5,-,6,67.66666666666667
chr1,6545949,3,-,8,43.5
chr1,6633564,20,+,20,71.8
chr1,6872049,210,+,35,63.97142857142857
chr1,7985048,7,+,2,54.5
chr1,7985226,14,+,12,121.16666666666667
chr1,7985287,422,+,557,72.32495511669659
chr1,8751091,6,-,35,223.97142857142856
chr1,8878725,3,-,219,50.073059360730596
chr1,8862948,32,-,33,391.3939393939394
chr1,8863343,49,-,31,366.741935483871
chr1,8864040,54,-,34,114.3529411764706
chr1,8864048,4,-,35,111.51428571428572
chr1,8864061,17,-,33,133.84848484848484
chr1,8864084,5,-,25,140.36
chr1,8864094,10,-,21,167.76190476190476
chr1,8865433,52,-,27,161.07407407407408
chr1,8865469,7,-,25,168.96
chr1,8865478,8,-,23,174.7826086956522
chr1,8866409,29,-,17,54.8235294117647
chr1,8866420,5,-,18,90.5
chr1,8866457,6,-,12,164.0
chr1,8866492,4,-,14,122.35714285714286
chr1,8866502,5,-,13,115.6923076923077
chr1,8868059,31,-,36,117.22222222222223
chr1,8870513,25,-,30,174.4
chr1,8871988,24,-,23,152.0
chr1,8874924,85,-,116,242.75
chr1,8878733,20,-,131,44.12977099236641
chr1,8863356,5,+,21,327.04761904761904
chr1,9687585,19,-,11,81.72727272727273
chr1,9942792,5,-,4,44.75
chr1,9943320,9,-,5,55.4
chr1,10420145,45,+,66,69.62121212121212
chr1,10442528,6,+,4,33.5
chr1,10442814,8,+,12,81.25
chr1,10459748,11,+,26,39.80769230769231
chr1,10472576,5,-,3,37.0
chr1,10469339,3,-,4,127.5
chr1,11024045,15,+,18,69.44444444444444
chr1,11030529,5,+,9,82.11111111111111
chr1,11070285,5,-,5,186.0
chr1,11077140,9,-,3,169.0
chr1,11662291,5,+,13,59.61538461538461
chr1,11674062,7,+,1,49.0
chr1,11680473,5,-,5,120.2
chr1,11681156,66,-,42,37.26190476190476
chr1,11975547,5,+,9,75.55555555555556
chr1,12032047,35,+,78,85.62820512820512
chr1,15428853,10,+,18,60.888888888888886
chr1,15605332,9,-,10,61.9
chr1,15828764,17,+,19,51.31578947368421
chr1,15807696,5,-,8,41.5
chr1,15940454,5,+,7,64.14285714285714
chr1,16395598,41,+,29,58.724137931034484
chr1,16396372,24,+,32,55.8125
chr1,16396398,4,+,6,54.666666666666664
chr1,16398145,8,+,16,63.375
chr1,16459112,7,+,2,2.0
chr1,16459257,8,+,2,3.0
chr1,16459872,89,+,2,101.5
chr1,17022733,10,-,6,100.16666666666667
chr1,17044891,15,-,9,189.33333333333334
chr1,17054097,154,-,4,43.0
chr1,19076904,9,-,4,199.5
chr1,19259022,11,+,4,68.75
chr1,19259449,21,+,18,66.72222222222223
chr1,19260128,5,+,4,90.75
chr1,19306148,4,-,5,587.2
chr1,19356754,3,-,6,149.66666666666666
chr1,19385627,3,-,9,132.22222222222223
chr1,19419756,7,-,39,80.64102564102564
chr1,19357541,6,-,6,483.1666666666667
chr1,19344436,3,-,5,297.4
chr1,19346482,3,-,6,43.166666666666664
chr1,19378655,5,-,6,143.0
chr1,19357563,3,-,5,548.0
chr1,19608632,23,-,58,55.93103448275862
chr1,19614337,8,-,9,28.22222222222222
chr1,19626639,363,+,397,69.02518891687657
chr1,20776042,4,+,10,53.9
chr1,20661389,39,-,108,33.620370370370374
chr1,20661413,3,-,17,34.64705882352941
chr1,20661528,3,-,4,36.0
chr1,21690200,8,-,9,29.11111111111111
chr1,21690583,5,-,4,53.0
chr1,21736626,3,-,2,488.0
chr1,21783180,11,-,6,26.333333333333332
chr1,22086866,3,+,4,134.25
chr1,22091628,13,+,31,72.0
chr1,22091777,19,+,52,61.0
chr1,22092465,8,+,1,2.0
chr1,22092950,6,+,103,78.9126213592233
chr1,22090129,5,+,7,68.0
chr1,22092414,6,-,17,76.88235294117646
chr1,23318689,8,-,3,10.666666666666666
chr1,23338609,4,-,7,133.71428571428572
chr1,23559343,287,-,3,307.0
chr1,23693916,21,+,24,137.33333333333334
chr1,23694793,54,+,74,169.83783783783784
chr1,23695912,125,+,258,119.4186046511628
chr1,23696427,3427,+,5782,72.13248011068835
chr1,23717262,6,+,12,36.916666666666664
chr1,23759911,3,+,12,73.5
chr1,23799437,7,-,5,70.4
chr1,23800823,22,-,2,64.5
chr1,23980372,17,-,17,59.411764705882355
chr1,23978820,3,-,5,79.0
chr1,23872158,12,+,15,30.866666666666667
chr1,24649036,38,+,39,59.51282051282051
chr1,24650071,32,+,7,51.0
chr1,24652514,7,+,7,39.857142857142854
chr1,24655070,3,+,5,24.6
chr1,25232529,12,-,11,86.72727272727273
chr1,25228237,5,-,3,197.0
chr1,25247488,5,-,2,128.5
chr1,25294657,7,+,11,55.81818181818182
chr1,25360997,60,+,72,65.54166666666667
chr1,25361142,11,+,14,57.285714285714285
chr1,25362361,6,+,7,52.142857142857146
chr1,25832942,7,+,14,57.0
chr1,25878795,14,+,19,18.473684210526315
chr1,25901611,3,-,4,190.5
chr1,25906466,5,-,40,39.15
chr1,25901694,3,-,4,13.75
chr1,25901743,3,-,3,185.0
chr1,25903805,9,-,14,105.14285714285714
chr1,25903820,7,-,13,113.23076923076923
chr1,25904741,65,-,70,129.34285714285716
chr1,26170873,72,+,67,70.88059701492537
chr1,26281484,6,+,40,77.5
chr1,26306636,5,-,6,59.666666666666664
chr1,26320235,93,+,3,107.33333333333333
