chrom,start,score,strand,read_density,clip_length
chr1,631065,5,+,10,351.7
chr1,14355,5,-,2,89.0
chr1,16853,3,-,6,26.833333333333332
chr1,24213,5,-,4,52.5
chr1,184871,4,-,2,89.0
chr1,187375,3,-,6,26.833333333333332
chr1,490851,4,-,1,83.0
chr1,629639,6,-,4,401.75
chr1,629915,6,-,3,162.0
chr1,631064,3,-,10,351.7
chr1,633950,16,-,5,536.4
chr1,634022,11,-,6,328.0
chr1,725854,3,-,1,83.0
chr1,827678,4,+,7,33.857142857142854
chr1,1013466,10,+,73,54.31506849315068
chr1,1064397,5,+,15,84.13333333333334
chr1,1064406,34,+,13,90.53846153846153
chr1,1254898,10,-,37,69.21621621621621
chr1,1308559,15,+,6,14.166666666666666
chr1,1399520,14,+,5,21.0
chr1,1311596,3,-,40,62.15
chr1,1373709,5,-,66,70.92424242424242
chr1,1386480,6,-,10,54.3
chr1,1396746,11,-,19,60.73684210526316
chr1,1401905,5,-,167,72.27544910179641
chr1,1401947,27,-,32,79.6875
chr1,1541672,52,-,60,73.9
chr1,1541812,3,-,2,189.5
chr1,1564726,7,-,5,64.6
chr1,1642346,3,-,6,52.5
chr1,1652426,8,-,11,82.27272727272727
chr1,1709478,3,-,3,43.0
chr1,1719358,3,-,4,55.25
chr1,1752514,4,-,8,52.625
chr1,1786748,4,-,14,68.64285714285714
chr1,2189545,5,-,24,70.79166666666667
chr1,2189562,6,-,26,71.6923076923077
chr1,2391773,19,+,8,119.625
chr1,2555748,7,+,2,13.0
chr1,2556351,10,+,2,12.5
chr1,2556520,16,+,1,76.0
chr1,6185019,3,-,19,75.26315789473684
chr1,6186283,5,-,11,50.90909090909091
chr1,6186596,7,-,1666,68.48019207683073
chr1,6186610,17,-,1887,67.7970323264441
chr1,6186687,16,-,30,48.3
chr1,6186693,8,-,27,46.666666666666664
chr1,6192926,6,-,20,150.9
chr1,6264271,4,-,32,68.125
chr1,6521346,5,-,23,58.95652173913044
chr1,6625152,20,+,8,20.375
chr1,6785438,5,+,135,75.4074074074074
chr1,6820178,14,+,15,155.13333333333333
chr1,6825089,4,+,4,281.25
chr1,7961652,11,+,127,69.01574803149606
chr1,7962759,5,+,73,90.26027397260275
chr1,7965322,19,+,12,288.9166666666667
chr1,7969342,5,+,7,166.0
chr1,7970891,7,+,6,285.6666666666667
chr1,7977649,10,+,8,85.0
chr1,8743269,6,-,39,31.94871794871795
chr1,8857699,3,-,7,118.28571428571429
chr1,8860996,75,-,1870,69.52192513368983
chr1,8861070,4,-,59,93.84745762711864
chr1,8861135,9,-,23,103.91304347826087
chr1,8861150,4,-,19,78.94736842105263
chr1,8861228,5,-,14,115.21428571428571
chr1,8861269,5,-,18,95.5
chr1,8862885,10,-,19,224.47368421052633
chr1,8863234,7,-,14,245.21428571428572
chr1,8863956,4,-,16,96.9375
chr1,8865296,3,-,15,62.13333333333333
chr1,8865378,16,-,9,30.333333333333332
chr1,8866277,3,-,12,128.91666666666666
chr1,8866325,14,-,9,30.77777777777778
chr1,8867115,12,-,8,27.75
chr1,8867987,7,-,8,60.5
chr1,8870451,4,-,14,78.07142857142857
chr1,8871888,11,-,10,108.3
chr1,8743265,28,+,39,31.94871794871795
chr1,8861001,5,+,1903,69.80294272201786
chr1,9680838,19,-,18,77.88888888888889
chr1,9930245,5,-,16,54.1875
chr1,10399017,4,+,10,33.2
chr1,10411431,8,+,2,59.5
chr1,10430431,6,+,11,34.63636363636363
chr1,10456521,11,+,25,66.68
chr1,10458478,3,+,1,56.0
chr1,10460906,5,-,5,38.0
chr1,10461223,3,-,18,81.5
chr1,10462462,8,-,7,72.42857142857143
chr1,10462840,20,-,3,74.33333333333333
chr1,11012650,5,+,23,150.1304347826087
chr1,11013717,4,+,2,155.5
chr1,11029634,5,+,7,17.857142857142858
chr1,11066613,5,-,45,62.24444444444445
chr1,11654849,5,+,5,38.4
chr1,11664195,7,+,13,22.23076923076923
chr1,11668652,3,+,5,101.2
chr1,11674474,5,-,70,71.37142857142857
chr1,11674583,4,-,1,79.0
chr1,11934701,5,+,4,34.75
chr1,12019439,6,+,2,15.0
chr1,12021637,20,+,12,71.5
chr1,12030556,10,+,9,25.666666666666668
chr1,12031278,6,+,5,9.6
chr1,15409909,10,+,10,48.9
chr1,15604527,9,-,7,59.0
chr1,15828211,17,+,19,228.1578947368421
chr1,15807168,5,-,10,68.8
chr1,15938565,5,+,11,50.45454545454545
chr1,16367193,41,+,5,23.6
chr1,16393224,9,+,10,112.3
chr1,16440701,5,+,33,65.75757575757575
chr1,17018718,10,-,127,59.59842519685039
chr1,19074509,9,-,19,70.73684210526316
chr1,19251778,11,+,15,29.2
chr1,19303964,4,-,20,49.95
chr1,19338766,3,-,90,75.06666666666666
chr1,19338802,3,-,111,60.26126126126126
chr1,19339101,3,-,47,62.787234042553195
chr1,19339355,3,-,93,75.7741935483871
chr1,19356634,4,-,4,3.25
chr1,19374174,3,-,7,62.42857142857143
chr1,19608078,23,-,64,37.296875
chr1,19596970,363,+,59,66.8135593220339
chr1,19608077,31,+,64,37.296875
chr1,19622096,28,+,27,153.5185185185185
chr1,19623470,21,+,13,143.3846153846154
chr1,20742677,4,+,19,57.578947368421055
chr1,20651771,39,-,50,66.0
chr1,20652129,4,-,2,110.0
chr1,20652330,4,-,2,95.5
chr1,21679215,8,-,37,74.56756756756756
chr1,21721031,3,-,25,74.0
chr1,22052634,3,+,2,15.5
chr1,22078420,3,+,60,105.63333333333334
chr1,22086436,4,+,4,303.0
chr1,22091793,5,+,105,42.31428571428572
chr1,23309766,7,-,34,67.29411764705883
chr1,23310793,4,-,1,1230.0
chr1,23557915,8,-,293,66.69965870307168
chr1,23557975,28,-,19,130.26315789473685
chr1,23558178,11,-,3,14.666666666666666
chr1,23691754,33,+,2,39.5
chr1,23692580,4,+,182,52.18681318681319
chr1,23692586,6,+,1517,70.36453526697429
chr1,23692603,12,+,1832,69.88755458515284
chr1,23692635,13,+,833,76.40696278511405
chr1,23692646,13,+,265,106.61509433962264
chr1,23693802,6,+,103,228.3106796116505
chr1,23694657,6,+,76,289.5921052631579
chr1,23695792,424,+,370,112.57567567567567
chr1,23743427,3,+,1,16.0
chr1,23795598,7,-,41,71.21951219512195
chr1,23966444,17,-,23,74.73913043478261
chr1,23967460,7,-,8,58.125
chr1,23969084,5,-,4,65.0
chr1,23970974,3,-,9,239.88888888888889
chr1,23978095,4,-,4,6.25
chr1,23870514,12,+,17,63.05882352941177
chr1,24643269,38,+,68,74.67647058823529
chr1,24645974,7,+,16,78.6875
chr1,25222678,12,-,14,65.42857142857143
chr1,25222982,19,-,24,62.708333333333336
chr1,25223056,5,-,2,3.5
chr1,25228997,3,-,4,29.5
chr1,25242237,5,-,24,67.70833333333333
chr1,25293347,7,+,11,52.27272727272727
chr1,25338299,7,+,44,52.52272727272727
chr1,25340473,3,+,4,132.25
chr1,25819931,7,+,4,37.0
chr1,25823016,3,+,5,146.0
chr1,25861483,14,+,20,88.1
chr1,25900115,3,-,12,69.0
chr1,25900555,10,-,228,65.09649122807018
chr1,25900948,6,-,3,36.0
chr1,26169891,72,+,23,35.391304347826086
chr1,26280035,6,+,49,32.51020408163265
chr1,26280050,371,+,112,41.69642857142857
chr1,26280764,24,+,16,100.5
chr1,26282281,5,-,7,49.0
chr1,26317902,93,+,72,120.45833333333333
chr1,26475187,6,-,1,269.0
chr1,26432315,6,+,10,33.4
chr1,26472429,3,+,44,50.18181818181818
chr1,26472446,10,+,51,75.68627450980392
chr1,26472457,15,+,70,62.92857142857143
chr1,26473480,12,+,18,145.0
chr1,26473650,7,+,1,319.0
chr1,26474084,13,+,13,80.15384615384616
chr1,26474569,16,+,12,214.16666666666666
chr1,26545828,6,+,5,34.8
chr1,26788168,4,+,3,210.66666666666666
chr1,26921718,27,+,52,39.5
chr1,26921750,7,+,92,45.90217391304348
chr1,26941454,3,+,6,187.16666666666666
chr1,26942653,7,+,4,239.75
chr1,27206829,3,-,135,80.64444444444445
chr1,27206841,53,-,153,78.69934640522875
chr1,27206863,27,-,68,68.42647058823529
chr1,27206914,3,-,17,158.11764705882354
chr1,27207387,3,-,3,481.3333333333333
chr1,27322226,15,+,4,24.5
chr1,27612288,15,-,57,68.40350877192982
chr1,27666061,11,-,123,76.44715447154472
chr1,27891523,7,-,58,72.70689655172414
chr1,27872534,14,+,19,42.36842105263158
chr1,28236081,3,+,16,85.0
chr1,28236099,9,+,70,68.22857142857143
chr1,28236107,8,+,171,58.93567251461988
