chrom,strand,position,weight_sg,weight_berth,read_density,leading_clip_length,trailing_clip_length,junction_start_cnt,junction_end_cnt,junction_cross_cnt,label
chr1,+,15953,1,0,1,56.0,134.0,0,0,0,0
chr1,+,153251,1,0,1,19.0,20.0,0,0,0,0
chr1,+,186475,1,0,1,56.0,134.0,0,0,0,0
chr1,+,482006,1,0,1,85.0,0.0,0,0,0,0
chr1,+,492088,1,0,1,28.0,142.0,0,0,1,0
chr1,+,493122,1,0,1,11.0,215.0,0,0,0,0
chr1,+,523284,1,0,1,55.0,62.0,0,0,0,0
chr1,+,632690,17,5,17,388.941,64.1176,0,0,8,0
chr1,+,634913,1,0,1,412.0,40.0,0,0,5,0
chr1,+,638788,3,0,3,407.667,30.0,0,0,2,0
chr1,+,716995,1,0,1,85.0,0.0,0,0,2,0
chr1,+,727091,1,0,1,28.0,142.0,0,0,3,0
chr1,+,728028,1,0,1,11.0,215.0,0,0,2,0
chr1,+,753562,2,0,2,206.5,20.0,0,0,0,0
chr1,-,17562,1,0,1,53.0,55.0,0,0,3,0
chr1,-,18064,1,0,2,55.0,66.5,3,3,2,0
chr1,-,24894,7,5,14,71.7143,54.1429,5,5,4,0
chr1,-,29400,5,19,13,76.1538,38.6923,0,0,2,0
chr1,-,106209,1,0,1,412.0,3.0,0,0,3,0
chr1,-,136160,3,0,3,83.3333,5.0,0,0,5,0
chr1,-,147292,1,0,1,25.0,204.0,0,0,7,0
chr1,-,172632,2,0,2,73.5,1.0,0,0,4,0
chr1,-,173863,1,0,1,4.0,122.0,0,0,3,0
chr1,-,174922,1,0,1,90.0,3.0,0,0,2,0
chr1,-,187091,1,0,1,57.0,24.0,0,0,6,0
chr1,-,188086,1,0,1,53.0,55.0,0,0,4,0
chr1,-,188587,1,0,2,55.0,66.5,3,3,3,0
chr1,-,195419,8,4,13,79.6154,53.7692,3,3,2,0
chr1,-,199875,20,14,20,71.7,39.3,0,0,1,0
chr1,-,282773,1,0,1,89.0,3.0,0,0,1,0
chr1,-,357175,1,0,1,11.0,65.0,0,0,1,0
chr1,-,373325,1,0,1,9.0,176.0,0,0,1,0
chr1,-,492143,6,5,6,67.5,177.333,0,0,12,0
chr1,-,498063,1,0,1,60.0,105.0,0,0,13,0
chr1,-,501622,1,0,1,83.0,2.0,5,5,7,0
chr1,-,505887,1,0,1,25.0,204.0,0,0,13,0
chr1,-,523389,1,0,1,73.0,5.0,1,1,4,0
chr1,-,523922,1,0,1,17.0,44.0,0,0,4,0
chr1,-,532455,1,0,1,78.0,96.0,0,0,2,0
chr1,-,629437,1,0,1,696.0,16.0,1,1,20,0
chr1,-,630686,17,12,17,242.118,73.1765,1,1,19,0
chr1,-,634528,1,0,1,409.0,48.0,0,0,19,0
chr1,-,634877,2,0,2,286.0,25.5,0,0,17,0
chr1,-,638788,7,0,7,188.0,24.1429,0,0,10,0
chr1,-,647681,2,0,2,1331.5,38.0,0,0,8,0
chr1,-,651977,1,0,1,20.0,64.0,0,0,7,0
