chrom,strand,position,weight_sg,weight_berth,read_density,leading_clip_length,trailing_clip_length,junction_start_cnt,junction_end_cnt,junction_cross_cnt,label
chr1,+,14425,1,0,1,56.0,134.0,0,0,0,0
chr1,+,134913,2,0,2,18.0,277.5,0,0,0,0
chr1,+,184941,1,0,1,56.0,134.0,0,0,0,0
chr1,+,479859,1,0,1,85.0,0.0,0,0,0,0
chr1,+,490415,1,0,1,11.0,215.0,0,0,0,0
chr1,+,494611,1,0,1,55.0,62.0,0,0,0,0
chr1,+,614845,1,0,1,186.0,105.0,0,0,0,0
chr1,+,615336,1,0,1,902.0,17.0,1,0,1,0
chr1,+,617990,2,0,2,44.5,54.5,1,0,2,0
chr1,+,618322,1,0,1,20.0,125.0,0,0,3,0
chr1,+,625388,1,0,1,120.0,126.0,1,0,4,0
chr1,+,625620,2,0,2,412.5,57.5,0,0,5,0
chr1,+,628423,1,0,1,957.0,30.0,1,0,7,0
chr1,+,630265,1,0,1,104.0,71.0,1,0,8,0
chr1,+,630441,2,0,3,174.667,43.3333,1,1,8,0
chr1,+,632756,3,0,3,305.333,38.0,0,0,8,0
chr1,+,714855,1,0,1,85.0,0.0,0,0,2,0
chr1,+,725418,1,0,1,11.0,215.0,0,0,2,0
chr1,+,631065,0,5,5,295.8,51.6,0,0,10,0
chr1,-,14355,30,16,21,75.5238,48.0952,0,0,0,0
chr1,-,17913,1,0,1,136.0,27.0,0,4,1,0
chr1,-,24213,6,5,4,52.5,188.0,0,0,11,0
chr1,-,87525,1,0,1,25.0,77.0,0,0,2,0
chr1,-,89570,1,0,1,73.0,2.0,0,0,3,0
chr1,-,122406,1,0,1,74.0,0.0,0,0,3,0
chr1,-,134919,4,0,3,83.3333,5.0,0,0,4,0
chr1,-,137588,1,0,1,25.0,204.0,0,0,5,0
chr1,-,155764,1,0,1,979.0,6.0,0,2,5,0
chr1,-,155994,2,0,1,81.0,10.0,0,0,8,0
chr1,-,167122,1,0,1,90.0,3.0,0,0,4,0
chr1,-,177299,1,0,1,89.0,3.0,0,0,2,0
chr1,-,184871,29,15,19,73.4737,38.4737,0,0,3,0
chr1,-,188437,1,0,1,136.0,27.0,0,3,2,0
chr1,-,194740,3,0,2,55.0,44.0,0,0,11,0
chr1,-,266380,2,0,1,73.0,2.0,0,0,1,0
chr1,-,356442,1,0,1,11.0,65.0,0,0,1,0
chr1,-,365396,1,0,1,9.0,176.0,0,0,1,0
chr1,-,481416,1,0,1,17.0,44.0,0,0,1,0
chr1,-,490755,17,0,2,74.0,3.5,0,0,2,0
chr1,-,492737,1,0,1,78.0,96.0,1,0,12,0
chr1,-,492790,3,0,1,25.0,204.0,1,0,12,0
chr1,-,496394,1,0,1,4.0,76.0,0,0,15,0
chr1,-,506099,1,0,1,139.0,79.0,1,0,13,0
chr1,-,514586,2,0,1,81.0,10.0,0,0,9,0
chr1,-,595124,1,0,1,374.0,91.0,1,0,2,0
chr1,-,611110,1,0,1,215.0,19.0,1,0,3,0
chr1,-,616938,1,0,1,159.0,23.0,1,0,4,0
chr1,-,617990,2,0,2,40.5,38.5,2,0,5,0
chr1,-,618322,2,0,2,15.0,86.5,2,0,7,0
chr1,-,623379,1,0,1,558.0,49.0,1,0,9,0
chr1,-,626628,6,0,6,4.16667,75.6667,6,0,10,0
chr1,-,627376,1,0,1,348.0,30.0,1,0,16,0
chr1,-,627670,1,0,1,499.0,22.0,1,0,17,0
chr1,-,628071,1,0,1,95.0,41.0,1,0,18,0
chr1,-,629090,3,0,1,62.0,0.0,0,0,19,0
chr1,-,631064,3,3,5,407.6,64.6,0,2,18,0
chr1,-,674416,1,0,1,402.0,85.0,0,0,7,0
chr1,-,710607,1,0,1,81.0,196.0,0,0,8,0
chr1,-,713365,1,0,1,74.0,0.0,0,0,9,0
chr1,-,716359,2,0,2,50.5,64.5,0,0,10,0
chr1,-,725064,4,0,1,56.0,10.0,0,0,12,0
chr1,-,727436,1,0,1,42.0,62.0,1,0,23,0
chr1,-,727643,1,0,1,78.0,20.0,1,0,24,0
chr1,-,728090,1,0,1,1.0,281.0,0,0,25,0
chr1,-,733304,1,0,1,4.0,1635.0,0,3,18,0
chr1,-,736710,1,0,1,4.0,1635.0,0,3,21,0
chr1,-,738115,1,0,1,4.0,80.0,0,0,25,0
chr1,-,753598,1,0,1,28.0,82.0,0,0,15,0
chr1,-,756074,1,0,1,979.0,7.0,0,8,6,0
chr1,-,767566,1,0,1,90.0,9.0,0,0,4,0
chr1,-,779500,1,0,1,304.0,86.0,0,0,2,0
chr1,-,800876,1,0,1,152.0,1.0,0,0,1,0
chr1,-,16853,0,3,7,27.4286,93.5714,0,3,1,0
chr1,-,187375,0,3,6,26.8333,98.5,0,3,4,0
chr1,-,490851,0,9,6,58.8333,115.5,0,0,2,0
chr1,-,629639,0,6,4,401.75,70.0,0,2,19,0
chr1,-,629915,0,6,5,221.4,86.4,0,1,17,0
chr1,-,633950,0,16,10,681.5,45.3,5,4,16,0
chr1,-,634022,0,11,9,657.556,62.2222,7,1,16,0
chr1,-,725854,0,3,5,67.2,32.8,1,0,12,0
chr1,-,816539,1,0,1,110.0,0.0,0,0,0,0
chr1,+,824331,1,0,1,74.0,2.0,0,0,0,0
chr1,+,827597,12,0,2,36.5,163.5,0,0,0,1
chr1,+,841253,1,0,1,352.0,394.0,0,0,2,0
chr1,+,847650,2,0,2,511.0,86.5,0,1,2,0
chr1,+,849917,1,0,1,383.0,129.0,0,0,4,0
chr1,+,827678,0,8,8,38.25,73.5,0,0,0,0
chr1,-,849983,1,0,1,2887.0,158.0,0,0,0,0
chr1,+,914808,1,0,1,0.0,96.0,0,0,0,0
chr1,-,944202,17,0,17,76.0588,29.2353,0,0,0,0
chr1,-,958144,3,0,1,100.0,12.0,0,0,4,0
chr1,+,963219,1,0,1,685.0,1.0,1,0,0,0
chr1,+,972376,1,0,1,65.0,34.0,1,0,0,0
chr1,+,974901,1,0,1,207.0,89.0,0,0,1,0
chr1,-,994053,1,0,1,715.0,18.0,0,0,0,0
chr1,-,1013493,2,0,2,12.0,77.0,0,0,1,1
chr1,-,1054990,1,0,1,151.0,48.0,0,0,0,0
chr1,+,995993,1,0,1,19.0,89.0,1,0,0,0
chr1,+,1006775,3,0,3,47.3333,56.0,3,0,1,0
chr1,+,1008059,1,0,1,234.0,0.0,0,0,4,0
chr1,+,1013434,440,0,38,54.0789,66.6842,0,0,5,0
chr1,+,1063130,1,0,1,0.0,40.0,0,0,3,0
chr1,+,1064377,44,0,15,84.1333,42.3333,0,0,4,0
