chrom,strand,position,weight_sg,weight_berth,read_density,leading_clip_length,trailing_clip_length,junction_start_cnt,junction_end_cnt,junction_cross_cnt,label
chr1,+,14425,1,0,1,56,134,0,0,0,0
chr1,+,134913,2,0,2,17,277,0,0,0,0
chr1,+,184941,1,0,1,56,134,0,0,0,0
chr1,+,479859,1,0,1,85,0,0,0,0,0
chr1,+,490415,1,0,1,11,215,0,0,0,0
chr1,+,494611,1,0,1,55,62,0,0,0,0
chr1,+,614845,1,0,1,186,105,0,0,0,0
chr1,+,615336,1,0,1,902,17,1,0,1,0
chr1,+,617990,2,0,2,44,54,1,0,2,0
chr1,+,618322,1,0,1,20,125,0,0,3,0
chr1,+,625388,1,0,1,120,126,1,0,4,0
chr1,+,625620,2,0,2,412,57,0,0,5,0
chr1,+,628423,1,0,1,957,30,1,0,7,0
chr1,+,630265,1,0,1,104,71,1,0,8,0
chr1,+,630441,2,0,3,174,42,1,1,8,0
chr1,+,632756,3,0,3,305,37,0,0,8,0
chr1,+,714855,1,0,1,85,0,0,0,2,0
chr1,+,725418,1,0,1,11,215,0,0,2,0
chr1,+,631065,0,5,5,294,50,0,0,10,0
chr1,-,14355,30,0,21,64,39,0,0,0,0
chr1,-,17913,1,0,1,136,27,0,4,1,0
chr1,-,24213,6,0,4,51,186,0,0,11,0
chr1,-,87525,1,0,1,25,77,0,0,2,0
chr1,-,89570,1,0,1,73,2,0,0,3,0
chr1,-,122406,1,0,1,74,0,0,0,3,0
chr1,-,134919,4,0,3,82,5,0,0,4,0
chr1,-,137588,1,0,1,25,204,0,0,5,0
chr1,-,155764,1,0,1,979,6,0,2,5,0
chr1,-,155994,2,0,1,81,10,0,0,8,0
chr1,-,167122,1,0,1,90,3,0,0,4,0
chr1,-,177299,1,0,1,89,3,0,0,2,0
chr1,-,184871,29,0,19,66,29,0,0,3,0
chr1,-,188437,1,0,1,136,27,0,3,2,0
chr1,-,194740,3,0,2,55,43,0,0,11,0
chr1,-,266380,2,0,1,73,2,0,0,1,0
chr1,-,356442,1,0,1,11,65,0,0,1,0
chr1,-,365396,1,0,1,9,176,0,0,1,0
chr1,-,481416,1,0,1,17,44,0,0,1,0
chr1,-,490755,17,0,2,74,3,0,0,2,0
chr1,-,492737,1,0,1,78,96,1,0,12,0
chr1,-,492790,3,0,1,25,204,1,0,12,0
chr1,-,496394,1,0,1,4,76,0,0,15,0
chr1,-,506099,1,0,1,139,79,1,0,13,0
chr1,-,514586,2,0,1,81,10,0,0,9,0
chr1,-,595124,1,0,1,374,91,1,0,2,0
chr1,-,611110,1,0,1,215,19,1,0,3,0
chr1,-,616938,1,0,1,159,23,1,0,4,0
chr1,-,617990,2,0,2,40,38,2,0,5,0
chr1,-,618322,2,0,2,15,86,2,0,7,0
chr1,-,623379,1,0,1,558,49,1,0,9,0
chr1,-,626628,6,0,6,1,72,6,0,10,0
chr1,-,627376,1,0,1,348,30,1,0,16,0
chr1,-,627670,1,0,1,499,22,1,0,17,0
chr1,-,628071,1,0,1,95,41,1,0,18,0
chr1,-,629090,3,0,1,62,0,0,0,19,0
chr1,-,631064,3,0,5,405,62,0,2,18,0
